a	'a
unobtrusiveness	"un-ob-'tru-sive-ness
unofficial	"un-of-'fi-cial
unofficially	"un-of-'fi-cial-ly
unorthodox	"un-'or-tho-dox
unpack	"un-'pack
unpacked	"un-'packed
unpacking	"un-'pack-ing
unpacks	"un-'packs
unparalleled	un-'par-al-leled
unparliamentary	"un-"par-lia-'men-ta-ry
unperson	"un-'per-son
unpersons	"un-'per-sons
unpick	"un-'pick
unpicked	"un-'picked
unpicking	"un-'pick-ing
unpicks	"un-'picks
unplaced	"un-'placed
unplayable	"un-'play-a-ble
unpleasant	un-'pleas-ant
unpleasantly	un-'pleas-ant-ly
unpleasantness	un-'pleas-ant-ness
unpleasantnesses	un-'pleas-ant-ness-es
unplumbed	"un-'plumbed
unpractised	un-'prac-tised
unprecedented	un-'prec-e-dent-ed
unprecedentedly	un-'pre-ce-dent-ed-ly
unprejudiced	"un-'prej-u-diced
unprepared	"un-pre-'pared
unpretentious	"un-pre-'ten-tious
unpretentiously	"un-pre-'ten-tious-ly
unpretentiousness	"un-pre-'ten-tious-ness
unprincipled	un-'prin-ci-pled
unprintable	"un-'print-a-ble
unprofessional	"un-pro-'fes-sion-al
unprofessionally	"un-pro-'fes-sion-al-ly
unprompted	un-'prompt-ed
unprovided for	"un-pro-'vid-ed-for
unprovoked	"un-pro-'voked
unputdownable	"un-put-'down-a-ble
unqualified	un-'qual-i-fied
unquestionable	un-'ques-tion-a-ble
unquestionably	un-'ques-tion-a-bly
unquestioned	un-'ques-tioned
unquestioning	un-'ques-tion-ing
unquiet	un-'qui-et
unquote	un-'quote
unravel	un-'rav-el
unravelled	un-'rav-elled
unravelling	un-'rav-el-ling
unravels	un-'rav-els
unreadable	"un-'read-a-ble
unreadably	"un-'read-a-bly
unreasonable	un-'rea-son-a-ble
unreasonableness	un-'rea-son-a-ble-ness
unreasonably	un-'rea-son-a-bly
unreasoning	un-'rea-son-ing
unrelenting	"un-re-'lent-ing
unrelentingly	"un-re-'lent-ing-ly
unreliable	"un-re-'li-a-ble
unrelieved	"un-re-'lieved
unremitting	"un-re-'mit-ting
unremittingly	"un-re-'mit-ting-ly
unrequited	"un-re-'quit-ed
unreserved	"un-re-'served
unreservedly	"un-re-'serv-ed-ly
unrest	"un-'rest
unrestrained	"un-re-'strained
unrestricted	"un-re-'strict-ed
unrip	"un-'rip
unripped	"un-'ripped
unripping	"un-'rip-ping
unrips	"un-'rips
unrivalled	un-'ri-valled
unroll	"un-'roll
unrolled	"un-'rolled
unrolling	"un-'roll-ing
unrolls	"un-'rolls
unruffled	"un-'ruf-fled
unruliest	un-'ru-li-est
unruliness	un-'ru-li-ness
unruly	un-'ru-ly
unsaddle	"un-'sad-dle
unsaddled	"un-'sad-dled
unsaddles	"un-'sad-dles
unsaid	"un-'said
unsavoury	"un-'sa-vour-y
unsay	"un-'say
unsaying	"un-'say-ing
unsays	"un-'says
unscathed	"un-'scathed
unschooled	"un-'schooled
unscramble	un-'scram-ble
unscrambled	un-'scram-bled
unscrambles	un-'scram-bles
unscrambling	un-'scram-bling
unscrew	"un-'screw
unscrewed	"un-'screwed
unscrewing	"un-'screw-ing
unscrews	"un-'screws
unscripted	"un-'script-ed
unscrupulous	un-'scru-pu-lous
unscrupulously	un-'scru-pu-lous-ly
unscrupulousness	un-'scru-pu-lous-ness
unseasoned	"un-'sea-soned
unseat	"un-'seat
unseated	"un-'seat-ed
unseating	"un-'seat-ing
unseats	"un-'seats
unseeing	"un-'see-ing
unseeingly	"un-'see-ing-ly
unseemliness	un-'seem-li-ness
unseemly	un-'seem-ly
unseen	"un-'seen
unseens	"un-'seens
unserviceable	"un-'ser-vice-a-ble
unsettle	"un-'set-tle
unsettled	"un-'set-tled
unsettles	"un-'set-tles
unsex	un-'sex
unsexed	un-'sexed
unsexes	un-'sex-es
unsexing	un-'sex-ing
unshakable	un-'shak-a-ble
unshod	"un-'shod
unsightliness	un-'sight-li-ness
unsightly	un-'sight-ly
unskilled	"un-'skilled
unsociable	un-'so-cia-ble
unsocial	"un-'so-cial
unsold	"un-'sold
unsophisticated	"un-so-'phis-ti-cat-ed
unsound	"un-'sound
unsparing	un-'spar-ing
unsparingly	un-'spar-ing-ly
unspeakable	un-'speak-a-ble
unspeakably	un-'speak-a-bly
unspotted	"un-'spot-ted
unstop	"un-'stop
unstopped	"un-'stopped
unstopping	"un-'stop-ping
unstops	"un-'stops
unstring	"un-'string
unstringing	"un-'string-ing
unstrings	"un-'strings
unstrung	"un-'strung
unstuck	"un-'stuck
unstudied	"un-'stud-ied
unsullied	"un-'sul-lied
unsung	"un-'sung
unswerving	un-'swerv-ing
unswervingly	un-'swerv-ing-ly
unsyllabic	"un-syl-'lab-ic
untangle	"un-'tan-gle
untangled	"un-'tan-gled
untangles	"un-'tan-gles
untangling	"un-'tan-gling
untapped	"un-'tapped
untenable	"un-'ten-a-ble
unthinkable	un-'think-a-ble
unthinking	"un-'think-ing
unthinkingly	un-'think-ing-ly
unthought-of	un-'thought-of
untidiest	un-'ti-di-est
untidily	un-'ti-di-ly
untidy	un-'ti-dy
until	un-'til
untimeliness	un-'time-li-ness
untimely	un-'time-ly
untinged	"un-'tinged
unto	'un-to
untold	"un-'told
untouchable	un-'touch-a-ble
untouchables	un-'touch-a-bles
untoward	"un-to-'ward
untowardly	"un-to-'ward-ly
untowardness	"un-to-'ward-ness
untruth	"un-'truth
untruthful	"un-'truth-ful
untruthfully	"un-'truth-ful-ly
untruths	"un-'truths
untutored	"un-'tu-tored
unused	"un-'used
unutterable	un-'ut-ter-a-ble
unutterably	un-'ut-ter-a-bly
unvarnished	un-'var-nished
unveil	"un-'veil
unveiled	"un-'veiled
unveiling	"un-'veil-ing
unveils	"un-'veils
unversed	"un-'versed
unvoiced	"un-'voiced
unwarranted	un-'war-rant-ed
unwed	"un-'wed
unwell	"un-'well
unwieldiness	un-'wield-i-ness
unwieldy	un-'wield-y
unwilling	"un-'will-ing
unwind	"un-'wind
unwinding	"un-'wind-ing
unwinds	"un-'winds
unwitting	un-'wit-ting
unwittingly	un-'wit-ting-ly
unwonted	un-'wont-ed
unwound	"un-'wound
unwritten	"un-'writ-ten
unwritten law	"un-writ-ten-'law
unwritten laws	"un-writ-ten-'laws
unzip	un-'zip
unzipped	un-'zipped
unzipping	un-'zip-ping
unzips	un-'zips
up	'up
up-and-coming	"up-and-'com-ing
up-and-up	"up-and-'up
upbeat	'up-beat
upbeats	'up-beats
upbraid	up-'braid
upbraided	up-'braid-ed
upbraiding	up-'braid-ing
upbraids	up-'braids
upbringing	'up-"bring-ing
upcoming	'up-"com-ing
upcountry	up-'coun-try
update	up-'date
updated	up-'dat-ed
updates	up-'dates
updating	up-'dat-ing
upend	up-'end
upended	up-'end-ed
upending	up-'end-ing
upends	up-'ends
upgrade	up-'grade
upgraded	up-'grad-ed
upgrades	'up-grades
upgrading	up-'grad-ing
upheaval	up-'heav-al
upheavals	up-'heav-als
upheld	up-'held
uphill	"up-'hill
uphold	up-'hold
upholder	up-'hold-er
upholders	up-'hold-ers
upholding	up-'hold-ing
upholds	up-'holds
upholster	up-'hol-ster
upholstered	up-'hol-stered
upholsterer	up-'hol-ster-er
upholsterers	up-'hol-ster-ers
upholstering	up-'hol-ster-ing
upholsters	up-'hol-sters
upholstery	up-'hol-ster-y
upkeep	'up-keep
upland	'up-land
uplift	up-'lift
uplifted	up-'lift-ed
uplifting	up-'lift-ing
uplifts	up-'lifts
up-market	"up-'mar-ket
upmost	'up-most
upon	up-'on
upped	'upped
upper	'up-per
upper case	"up-per-'case
Upper Chamber	"Up-per-'Cham-ber
upper class	"up-per-'class
upper crust	"up-per-'crust
uppercut	'up-per-cut
uppercuts	'up-per-cuts
upper hand	"up-per-'hand
Upper House	"Up-per-'House
uppermost	'up-per-most
uppers	'up-pers
upping	'up-ping
uppish	'up-pish
uppishly	'up-pish-ly
uppishness	'up-pish-ness
uppity	'up-pi-ty
upright	"up-'right
uprightly	'up-"right-ly
uprightness	'up-"right-ness
upright piano	"up-right-pi-'an-o
upright pianos	"up-right-pi-'an-os
uprights	'up-rights
uprise	up-'rise
uprisen	up-'ris-en
uprises	up-'ris-es
uprising	up-'ris-ing
uprisings	'up-"ris-ings
uproar	'up-roar
uproars	'up-roars
uproot	up-'root
uprooted	up-'root-ed
uprooting	up-'root-ing
uproots	up-'roots
uprose	up-'rose
ups	'ups
ups and downs	"ups-and-'downs
upset	up-'set
upsets	up-'sets
upsetting	up-'set-ting
upshot	'up-shot
upside-down	"up-side-'down
upstage	"up-'stage
upstaged	"up-'staged
upstages	"up-'stag-es
upstaging	"up-'stag-ing
upstairs	"up-'stairs
upstanding	up-'stand-ing
upstart	'up-start
upstarts	'up-starts
upstream	"up-'stream
upsurge	'up-surge
upsurges	'up-surg-es
upswing	'up-swing
upswings	'up-swings
uptake	'up-take
uptight	'up-tight
up to	'up-to
up-to-date	"up-to-'date
up-to-the-minute	"up-to-the-'min-ute
uptown	"up-'town
upturn	'up-turn
upturned	up-'turned
upturns	'up-turns
upward	'up-ward
upward of	'up-ward-of
upwards	'up-wards
upwards of	'up-wards-of
Uranus	'U-ra-nus
urban	'ur-ban
urbane	ur-'bane
urbanely	ur-'bane-ly
urbanity	ur-'ban-i-ty
urbanization	"ur-ban-i-'za-tion
urbanize	'ur-ban-ize
urbanized	'ur-ban-ized
urbanizes	'ur-ban-iz-es
urbanizing	'ur-ban-iz-ing
urchin	'ur-chin
urchins	'ur-chins
Urdu	'Ur-du
urge	'urge
urged	'urged
urgency	'ur-gen-cy
urgent	'ur-gent
urgently	'ur-gent-ly
urges	'urg-es
urging	'urg-ing
uric	'u-ric
urinal	'u-ri-nal
urinals	'u-ri-nals
urinary	'u-ri-nar-y
urinate	'u-ri-nate
urinated	'u-ri-nat-ed
urinates	'u-ri-nates
urinating	'u-ri-nat-ing
urination	"u-ri-'na-tion
urine	'u-rine
urn	'urn
urns	'urns
Ursa Major	"Ur-sa-'Ma-jor
Uruguay	'U-ru-guay
Uruguayan	"U-ru-'guay-an
Uruguayans	"U-ru-'guay-ans
us	'us
u's	'u's
usable	'us-a-ble
usage	'us-age
usages	'us-ag-es
use	'use
used	'used
used up	"used-'up
useful	'use-ful
usefully	'use-ful-ly
usefulness	'use-ful-ness
useless	'use-less
uselessly	'use-less-ly
uselessness	'use-less-ness
user	'us-er
users	'us-ers
uses	'us-es
uses up	"us-es-'up
use up	"use-'up
usher	'ush-er
ushered	'ush-ered
usherette	"ush-er-'ette
usherettes	"ush-er-'ettes
ushering	'ush-er-ing
ushers	'ush-ers
using	'us-ing
using up	"us-ing-'up
usurer	'u-su-rer
usurers	'u-su-rers
usurp	u-'surp
usurpation	"u-sur-'pa-tion
usurpations	"u-sur-'pa-tions
usurped	u-'surped
usurper	u-'surp-er
usurpers	u-'surp-ers
usurping	u-'surp-ing
usurps	u-'surps
usury	'u-su-ry
utensil	u-'ten-sil
utensils	u-'ten-sils
uteri	'u-ter-i
uterine	'u-ter-ine
uterus	'u-ter-us
uteruses	'u-ter-us-es
utilitarianism	"u-til-i-'tar-i-an-ism
utilities	u-'til-i-ties
utility	u-'til-i-ty
utilizable	'u-ti-liz-a-ble
utilization	"u-ti-li-'za-tion
utilize	'u-ti-lize
utilized	'u-ti-lized
utilizes	'u-ti-liz-es
utilizing	'u-ti-liz-ing
utmost	'ut-most
utter	'ut-ter
utterable	'ut-ter-a-ble
utterance	'ut-ter-ance
utterances	'ut-ter-anc-es
uttered	'ut-tered
uttering	'ut-ter-ing
utterly	'ut-ter-ly
uttermost	'ut-ter-most
utters	'ut-ters
U-turn	'U-turn
U-turns	'U-turns
uvula	'u-vu-la
uvulae	'u-vu-lae
uvular	'u-vu-lar
uvulars	'u-vu-lars
uvulas	'u-vu-las
v	'v
V	'V
vac	'vac
vacancies	'va-can-cies
vacancy	'va-can-cy
vacant	'va-cant
vacantly	'va-cant-ly
vacant possession	"va-cant-pos-'ses-sion
vacate	va-'cate
vacated	va-'cat-ed
vacates	va-'cates
vacating	va-'cat-ing
vacation	va-'ca-tion
vacationed	va-'ca-tioned
vacationing	va-'ca-tion-ing
vacations	va-'ca-tions
vaccinate	'vac-ci-nate
vaccinated	'vac-ci-nat-ed
vaccinates	'vac-ci-nates
vaccinating	'vac-ci-nat-ing
vaccination	"vac-ci-'na-tion
vaccinations	"vac-ci-'na-tions
vaccine	'vac-cine
vaccines	'vac-cines
vacillate	'vac-il-late
vacillated	'vac-il-lat-ed
vacillates	'vac-il-lates
vacillating	'vac-il-lat-ing
vacillation	"vac-il-'la-tion
vacillations	"vac-il-'la-tions
vacs	'vacs
vacuities	va-'cu-i-ties
vacuity	va-'cu-i-ty
vade-mecum	"va-de-'me-cum
vade-mecums	"va-de-'me-cums
vagabond	'vag-a-bond
vagabonds	'vag-a-bonds
vagaries	'va-gar-ies
vagary	'va-gar-y
vagina	va-'gi-na
vaginal	vag-'i-nal
vaginas	va-'gi-nas
vagrancy	'va-gran-cy
vagrant	'va-grant
vagrants	'va-grants
vague	'vague
vaguely	'vague-ly
vagueness	'vague-ness
vaguer	'va-guer
vaguest	'va-guest
vain	'vain
vainer	'vain-er
vainest	'vain-est
vainglory	"vain-'glo-ry
vainly	'vain-ly
valance	'val-ance
valances	'val-anc-es
vale	'vale
valediction	"val-e-'dic-tion
valedictions	"val-e-'dic-tions
valedictory	"val-e-'dic-to-ry
valence	'va-lence
valences	'va-lenc-es
valencies	'va-len-cies
valency	'va-len-cy
valentine	'val-en-tine
valentines	'val-en-tines
vales	'vales
valet	'val-et
valeted	'val-et-ed
valeting	'val-et-ing
valets	'val-ets
valetudinary	"val-e-'tu-di-nar-y
valiant	'val-iant
valiantly	'val-iant-ly
valid	'val-id
validate	'val-i-date
validated	'val-i-dat-ed
validates	'val-i-dates
validating	'val-i-dat-ing
validation	"val-i-'da-tion
validations	"val-i-'da-tions
validity	va-'lid-i-ty
validly	'val-id-ly
valise	va-'lise
valises	va-'lis-es
valley	'val-ley
valleys	'val-leys
valorous	'val-or-ous
valour	'val-our
valse	'valse
valses	'vals-es
valuation	"val-u-'a-tion
valuations	"val-u-'a-tions
value	'val-ue
value-added	"val-ue-'add-ed
value-added tax	"val-ue-'add-ed-tax
valued	'val-ued
valueless	'val-ue-less
values	'val-ues
valuing	'val-u-ing
valve	'valve
valves	'valves
valvular	'val-vu-lar
vamoose	va-'moose
vamoosed	va-'moosed
vamooses	va-'moos-es
vamoosing	va-'moos-ing
vamp	'vamp
vamped	'vamped
vamped up	"vamped-'up
vamping	'vamp-ing
vamping up	"vamp-ing-'up
vamps	'vamps
vamps up	"vamps-'up
vamp up	"vamp-'up
van	'van
vandal	'van-dal
Vandal	'Van-dal
vandalize	'van-dal-ize
vandalized	'van-dal-ized
vandalizes	'van-dal-iz-es
vandalizing	'van-dal-iz-ing
vandals	'van-dals
Vandals	'Van-dals
vane	'vane
vanes	'vanes
vanguard	'van-guard
vanguards	'van-guards
vanilla	va-'nil-la
vanillas	va-'nil-las
vanish	'van-ish
vanished	'van-ished
vanishes	'van-ish-es
vanishing	'van-ish-ing
vanishing cream	'van-ish-ing-cream
vanishing point	'van-ish-ing-point
vanishing points	'van-ish-ing-points
vanities	'van-i-ties
vanity	'van-i-ty
vanity bag	'van-i-ty-bag
vanity bags	'van-i-ty-bags
vanity case	'van-i-ty-case
vanity cases	'van-i-ty-cas-es
vanquish	'van-quish
vanquished	'van-quished
vanquishes	'van-quish-es
vanquishing	'van-quish-ing
vans	'vans
vantage	'van-tage
vantagepoint	'van-tage-point
vantagepoints	'van-tage-points
vapid	'vap-id
vapidity	va-'pid-i-ty
vapidly	'vap-id-ly
vapidness	'vap-id-ness
vaporization	"va-por-i-'za-tion
vaporizations	"va-por-i-'za-tions
vaporize	'va-por-ize
vaporized	'va-por-ized
vaporizes	'va-por-iz-es
vaporizing	'va-por-iz-ing
vaporous	'va-por-ous
vapour	'va-pour
vapour-bath	'va-pour-bath
vapour-baths	'va-pour-baths
vapours	'va-pours
vapour trail	'va-pour-trail
vapour trails	'va-pour-trails
variation	"var-i-'a-tion
variations	"var-i-'a-tions
varicoloured	'var-i-"col-oured
varicose	'var-i-cose
varied	'var-ied
varies	'var-ies
varieties	va-'ri-e-ties
variety	va-'ri-e-ty
variety meat	va-'ri-e-ty-meat
variety meats	va-'ri-e-ty-meats
variety show	va-'ri-e-ty-show
variety shows	va-'ri-e-ty-shows
variform	'var-i-form
variorum	"var-i-'o-rum
variorum edition	var-i-"o-rum-e-'di-tion
variorum editions	var-i-"o-rum-e-'di-tions
variorums	"var-i-'o-rums
varlet	'var-let
varlets	'var-lets
varmint	'var-mint
varmints	'var-mints
varnish	'var-nish
varnished	'var-nished
varnishes	'var-nish-es
varnishing	'var-nish-ing
varsities	'var-si-ties
varsity	'var-si-ty
vary	'var-y
varying	'var-y-ing
vascular	'vas-cu-lar
vase	'vase
vasectomies	va-'sec-to-mies
vasectomy	va-'sec-to-my
vaseline	'vas-e-line
vases	'vas-es
vassal	'vas-sal
vassalage	'vas-sal-age
vassals	'vas-sals
vast	'vast
vaster	'vast-er
vastest	'vast-est
vastly	'vast-ly
vastness	'vast-ness
vat	'vat
Vatican	'Vat-i-can
vats	'vats
vault	'vault
vaulted	'vault-ed
vaulter	'vault-er
vaulters	'vault-ers
vaulting	'vault-ing
vaulting-horse	'vault-ing-horse
vaulting-horses	'vault-ing-hors-es
vaults	'vaults
vaunt	'vaunt
vaunt about	'vaunt-a-"bout
vaunted	'vaunt-ed
vaunted about	'vaunt-ed-a-"bout
vaunted of	'vaunt-ed-of
vaunter	'vaunt-er
vaunters	'vaunt-ers
vaunting	'vaunt-ing
vaunting about	'vaunt-ing-a-"bout
vauntingly	'vaunt-ing-ly
vaunting of	'vaunt-ing-of
vaunt of	'vaunt-of
vaunts	'vaunts
vaunts about	'vaunts-a-"bout
vaunts of	'vaunts-of
've	've
veal	'veal
vector	'vec-tor
vectors	'vec-tors
veer	'veer
veered	'veered
veering	'veer-ing
veers	'veers
veg	'veg
vegan	'veg-an
vegans	'veg-ans
vegetarianism	"veg-e-'tar-i-an-ism
vegetate	'veg-e-tate
vegetated	'veg-e-tat-ed
vegetates	'veg-e-tates
vegetating	'veg-e-tat-ing
vegetation	"veg-e-'ta-tion
vehemence	've-he-mence
vehement	've-he-ment
vehemently	've-he-ment-ly
vehicular	ve-'hic-u-lar
veil	'veil
veiled	'veiled
veiling	'veil-ing
veils	'veils
vein	'vein
veined	'veined
veining	'vein-ing
veins	'veins
vela	've-la
velar	've-lar
velarize	've-lar-ize
velarized	've-lar-ized
velarizes	've-lar-iz-es
velarizing	've-lar-iz-ing
velars	've-lars
veld	'veld
velds	'velds
vellum	'vel-lum
velocipede	ve-'loc-i-pede
velocipedes	ve-'loc-i-pedes
velocities	ve-'loc-i-ties
velocity	ve-'loc-i-ty
velour	ve-'lour
velum	've-lum
velvet	'vel-vet
velveteen	"vel-vet-'een
velvety	'vel-vet-y
venal	've-nal
venality	ve-'nal-i-ty
venally	've-nal-ly
vend	'vend
vended	'vend-ed
vendee	"vend-'ee
vendees	"vend-'ees
vendetta	ven-'det-ta
vendettas	ven-'det-tas
vending	'vend-ing
vending machine	'vend-ing-ma-"chine
vending machines	'vend-ing-ma-"chines
vendor	'ven-dor
vendors	'ven-dors
vends	'vends
veneer	ve-'neer
veneered	ve-'neered
veneering	ve-'neer-ing
veneers	ve-'neers
venerable	'ven-er-a-ble
venerate	'ven-er-ate
venerated	'ven-er-at-ed
venerates	'ven-er-ates
venerating	'ven-er-at-ing
veneration	"ven-er-'a-tion
venerations	"ven-er-'a-tions
Venetian	Ve-'ne-tian
venetian blind	ve-"ne-tian-'blind
venetian blinds	ve-"ne-tian-'blinds
Venezuela	"Ven-e-'zue-la
Venezuelan	"Ven-e-'zue-lan
Venezuelans	"Ven-e-'zue-lans
venge	'venge
vengeance	'venge-ance
venged	'venged
vengeful	'venge-ful
vengefully	'venge-ful-ly
vengefulness	'venge-ful-ness
venges	'veng-es
venging	'veng-ing
Venice	'Ven-ice
venison	'ven-i-son
venom	'ven-om
venomed	'ven-omed
venomous	'ven-om-ous
venomously	'ven-o-mous-ly
venous	've-nous
vent	'vent
vented	'vent-ed
vented on	'vent-ed-on
vent-hole	'vent-hole
vent-holes	'vent-holes
ventilate	'ven-ti-late
ventilated	'ven-ti-lat-ed
ventilates	'ven-ti-lates
ventilating	'ven-ti-lat-ing
ventilation	"ven-ti-'la-tion
ventilator	'ven-ti-la-tor
ventilators	'ven-ti-la-tors
venting	'vent-ing
venting on	'vent-ing-on
vent on	'vent-on
ventricle	'ven-tri-cle
ventricles	'ven-tri-cles
ventriloquist	ven-'tril-o-quist
ventriloquists	ven-'tril-o-quists
vents	'vents
vents on	'vents-on
venture	'ven-ture
ventured	'ven-tured
ventured on	'ven-tured-on
ventured upon	'ven-tured-up-"on
venture on	'ven-ture-on
venturer	'ven-tur-er
venturers	'ven-tur-ers
ventures	'ven-tures
venturesome	'ven-ture-some
venturesomeness	'ven-ture-some-ness
ventures on	'ven-tures-on
ventures upon	'ven-tures-up-"on
venture upon	'ven-ture-up-"on
venturing	'ven-tur-ing
venturing on	'ven-tur-ing-on
venturing upon	'ven-tur-ing-up-"on
venturous	'ven-tur-ous
venue	'ven-ue
venues	'ven-ues
Venus	'Ve-nus
veracious	ve-'ra-cious
veraciously	ve-'ra-cious-ly
veracity	ve-'rac-i-ty
veranda	ve-'ran-da
verandas	ve-'ran-das
verb	'verb
verbal	'ver-bal
verbalize	'ver-bal-ize
verbalized	'ver-bal-ized
verbalizes	'ver-bal-iz-es
verbalizing	'ver-bal-iz-ing
verbally	'ver-bal-ly
verbal noun	"ver-bal-'noun
verbal nouns	"ver-bal-'nouns
verbals	'ver-bals
verbatim	ver-'ba-tim
verbena	ver-'be-na
verbenas	ver-'be-nas
verbiage	'ver-bi-age
verbose	ver-'bose
verbosely	ver-'bose-ly
verboseness	ver-'bose-ness
verbosity	ver-'bos-i-ty
verbs	'verbs
verdancy	'ver-dan-cy
verdant	'ver-dant
verdict	'ver-dict
verdicts	'ver-dicts
verdigris	'ver-di-gris
verdure	'ver-dure
verge	'verge
verged on	'verged-on
verged upon	'verged-up-"on
verge on	'verge-on
verger	'verg-er
vergers	'verg-ers
verges	'verg-es
verges on	'verg-es-on
verges upon	'verg-es-up-"on
verge upon	'verge-up-"on
verging on	'verg-ing-on
verging upon	'verg-ing-up-"on
veriest	'ver-i-est
verifiable	'ver-i-fi-a-ble
verification	"ver-i-fi-'ca-tion
verifications	"ver-i-fi-'ca-tions
verified	'ver-i-fied
verifies	'ver-i-fies
verify	'ver-i-fy
verifying	'ver-i-fy-ing
verily	'ver-i-ly
verisimilar	"ver-i-'sim-i-lar
verisimilitude	"ver-i-si-'mil-i-tude
verisimilitudes	"ver-i-si-'mil-i-tudes
veritable	'ver-i-ta-ble
veritably	'ver-i-ta-bly
verities	'ver-i-ties
verity	'ver-i-ty
vermicelli	"ver-mi-'cel-li
vermiculite	ver-'mic-u-lite
vermiform	'ver-mi-form
vermiform appendices	"ver-mi-form-ap-'pen-di-ces
vermiform appendix	"ver-mi-form-ap-'pen-dix
vermiform appendixes	"ver-mi-form-ap-'pen-dix-es
vermifuge	'ver-mi-fuge
vermifuges	'ver-mi-fug-es
vermilion	ver-'mil-ion
vermilions	ver-'mil-ions
vermin	'ver-min
verminous	'ver-min-ous
vermouth	'ver-mouth
vermouths	'ver-mouths
vernacular	ver-'nac-u-lar
vernaculars	ver-'nac-u-lars
vernal	'ver-nal
Veronal	'Ver-o-nal
veronica	ve-'ron-i-ca
veronicas	ve-'ron-i-cas
verruca	ver-'ru-ca
verrucae	ver-'ru-cae
verrucas	ver-'ru-cas
versatile	'ver-sa-tile
versatility	"ver-sa-'til-i-ty
verse	'verse
versed	'versed
verses	'vers-es
versification	"ver-si-fi-'ca-tion
versified	'ver-si-fied
versifier	'ver-si-fi-er
versifiers	'ver-si-fi-ers
versifies	'ver-si-fies
versify	'ver-si-fy
versifying	'ver-si-fy-ing
version	'ver-sion
versions	'ver-sions
verso	'ver-so
versos	'ver-sos
versus	'ver-sus
vertebra	'ver-te-bra
vertebrae	'ver-te-brae
vertebral	'ver-te-bral
vertebrate	'ver-te-brate
vertebrates	'ver-te-brates
vertex	'ver-tex
vertexes	'ver-tex-es
vertical	'ver-ti-cal
vertically	'ver-ti-cal-ly
verticals	'ver-ti-cals
vertices	'ver-ti-ces
vertiginous	ver-'tig-i-nous
vertigo	'ver-ti-go
verve	'verve
very	'ver-y
Very	'Ve-ry
very high frequencies	"ver-y-"high-'fre-quen-cies
very high frequency	"ver-y-"high-'fre-quen-cy
Very light	'Ve-ry-light
Very lights	'Ve-ry-lights
vesicle	'ves-i-cle
vesicles	'ves-i-cles
vesicular	ve-'sic-u-lar
vesper	'ves-per
vespers	'ves-pers
vessel	'ves-sel
vessels	'ves-sels
vest	'vest
Vesta	'Ves-ta
vestal	'ves-tal
vestals	'ves-tals
vestal virgin	"ves-tal-'vir-gin
vestal virgins	"ves-tal-'vir-gins
vested	'vest-ed
vested in	'vest-ed-in
vested with	'vest-ed-with
vestibule	'ves-ti-bule
vestibules	'ves-ti-bules
vestige	'ves-tige
vestiges	'ves-tig-es
vest in	'vest-in
vesting	'vest-ing
vesting in	'vest-ing-in
vesting with	'vest-ing-with
vestment	'vest-ment
vestments	'vest-ments
vestries	'ves-tries
vestry	'ves-try
vestryman	'ves-try-man
vestrymen	'ves-try-men
vests	'vests
vests in	'vests-in
vests with	'vests-with
vesture	'ves-ture
vestured	'ves-tured
vestures	'ves-tures
vesturing	'ves-tur-ing
vest with	'vest-with
vet	'vet
vetch	'vetch
vetches	'vetch-es
veteran	'vet-er-an
veterans	'vet-er-ans
Veterans Day	'Vet-er-ans-Day
veterinary	'vet-er-i-nar-y
veterinary surgeon	"vet-er-i-nar-y-'sur-geon
veterinary surgeons	"vet-er-i-nar-y-'sur-geons
veto	've-to
vetoed	've-toed
vetoer	've-to-er
vetoers	've-to-ers
vetoes	've-toes
vetoing	've-to-ing
vetos	've-tos
vets	'vets
vetted	'vet-ted
vetting	'vet-ting
vex	'vex
vexation	vex-'a-tion
vexations	vex-'a-tions
vexatious	vex-'a-tious
vexatiously	vex-'a-tious-ly
vexed	'vexed
vexed question	vexed-'ques-tion
vexed questions	vexed-'ques-tions
vexes	'vex-es
vexing	'vex-ing
via	'vi-a
viability	"vi-a-'bil-i-ty
viable	'vi-a-ble
viably	'vi-a-bly
viaduct	'vi-a-duct
viaducts	'vi-a-ducts
vial	'vi-al
vials	'vi-als
viands	'vi-ands
vibes	'vibes
vibrancy	'vi-bran-cy
vibrant	'vi-brant
vibrantly	'vi-brant-ly
vibraphone	'vi-bra-phone
vibraphones	'vi-bra-phones
vibrate	vi-'brate
vibrated	vi-'brat-ed
vibrates	vi-'brates
vibrating	vi-'brat-ing
vibration	vi-'bra-tion
vibrations	vi-'bra-tions
vibrato	vi-'bra-to
vibrator	vi-'bra-tor
vibrators	vi-'bra-tors
vibratos	vi-'bra-tos
vicar	'vic-ar
vicarage	'vic-ar-age
vicarages	'vic-ar-ag-es
vicars	'vic-ars
vice-chancellor	"vice-'chan-cel-lor
vice-chancellors	"vice-'chan-cel-lors
vicelike	'vice-like
viceregal	"vice-'re-gal
vicereine	"vice-'reine
vicereines	"vice-'reines
viceroy	'vice-roy
viceroys	'vice-roys
vices	'vic-es
vice squad	'vice-squad
vice squads	'vice-squads
vice versa	"vi-ce-'ver-sa
vicinities	vi-'cin-i-ties
vicinity	vi-'cin-i-ty
vicious	'vi-cious
vicious circle	"vi-cious-'cir-cle
